name,communityId
Osteosarcoma,3421
Breast cancer,3421
Melanoma,3421
Hodgkin lymphoma,3421
Congenital nongoitrous hypothyroidism (CHNG),3421
Basal cell carcinoma,3421
Cervical cancer,3421
Viral hepatitis,3421
Subependymal giant cell astrocytoma,3421
Head and neck cancer,3421
Soft tissue sarcomas,3421
Male hypogonadism,3421
Solid tumor,3421
Hepatocellular carcinoma,3421
Cryptorchidism,3421
Hepatitis D,3421
Kaposi sarcoma,3421
Malignant pleural mesothelioma,3421
Medullary thyroid cancer,3421
Barrett esophagus,3421
Testicular cancer,3421
Squamous cell carcinoma,3421
Hepatitis E,3421
Bladder cancer,3421
Thalassemia,3421
Small cell lung cancer,3421
Non-small cell lung cancer,3421
Langerhans cell histiocytosis,3421
Thyroid cancer,3421
Hypogonadotropic hypogonadism,3421
Primary peritoneal carcinoma,3421
Renal angiomyolipoma,3421
Erdheim-Chester disease,3421
Fallopian tube cancer,3421
Colorectal cancer,3421
Gastrotintestinal stromal tumor,3421
Ovarian cancer,3421
Gastric cancer,3421
Pancreatic neuroendocrine tumor,3421
Endometrial cancer,3421
Pancreatic cancer,3421
Renal cell carcinoma,3421
Esophageal cancer,3421
Merkel cell carcinoma,3421
Choriocarcinoma,3421
Hepatitis A,3421
Hashimoto thyroiditis,3421
Leucovorin calcium,3421
Levoleucovorin calcium,3421
Calcium levofolinate hydrate,3421
Sodium levofolinate,3421
Fluoxymesterone,3421
Methyltestosterone,3421
Testosterone enanthate,3421
Thiotepa,3421
Gemcitabine hydrochloride,3421
Capecitabine,3421
Vinblastine sulfate,3421
Paclitaxel,3421
Docetaxel,3421
Docetaxel,3421
Epirubicin hydrochloride,3421
Ixabepilone,3421
Palbociclib,3421
Ribociclib succinate,3421
Abemaciclib,3421
Everolimus,3421
Lapatinib ditosylate,3421
Neratinib maleate,3421
Tucatinib,3421
Alpelisib,3421
Trastuzumab,3421
Pertuzumab,3421
Trastuzumab emtansine,3421
Pembrolizumab,3421
Atezolizumab,3421
Trastuzumab deruxtecan,3421
Olaparib,3421
Talazoparib tosylate,3421
Eribulin mesylate,3421
"Pertuzumab, trastuzumab and hyaluronidase",3421
Tamoxifen citrate,3421
Toremifene citrate,3421
Fulvestrant,3421
Anastrozole,3421
Letrozole,3421
Exemestane,3421
Margetuximab,3421
Sacituzumab govitecan,3421
Letrozole and ribociclib,3421
Trastuzumab and hyaluronidase,3421
Dacarbazine,3421
Vemurafenib,3421
Dabrafenib mesylate,3421
Encorafenib,3421
Trametinib dimethyl sulfoxide,3421
Cobimetinib fumarate,3421
Binimetinib,3421
Ipilimumab,3421
Nivolumab,3421
Talimogene laherparepvec,3421
Peginterferon alfa-2b,3421
Aldesleukin,3421
Lomustine,3421
Bleomycin sulfate,3421
Procarbazine hydrochloride,3421
Levothyroxine sodium,3421
Fluorouracil,3421
Cemiplimab,3421
Vismodegib,3421
Sonidegib phosphate,3421
Topotecan hydrochloride,3421
Bevacizumab,3421
Cetuximab,3421
Trabectedin,3421
Pazopanib hydrochloride,3421
Olaratumab,3421
Tazemetostat hydrobromide,3421
Larotrectinib sulfate,3421
Entrectinib,3421
Sorafenib tosylate,3421
Regorafenib hydrate,3421
Cabozantinib s-malate,3421
Lenvatinib mesylate,3421
Ramucirumab,3421
Testosterone undecanoate,3421
Bulevirtide acetate,3421
Alitretinoin,3421
Pemetrexed sodium hydrate,3421
Vandetanib,3421
Selpercatinib,3421
Porfimer sodium,3421
Ifosfamide,3421
Etoposide,3421
Etoposide phosphate,3421
Cisplatin,3421
Valrubicin,3421
Mitomycin,3421
Erdafitinib,3421
Avelumab,3421
Enfortumab vedotin,3421
Luspatercept,3421
Durvalumab,3421
Lurbinectedin,3421
Trilaciclib dihydrochloride,3421
Vinorelbine tartrate,3421
Gefitinib,3421
Erlotinib hydrochloride,3421
Afatinib dimaleate,3421
Osimertinib mesylate,3421
Dacomitinib,3421
Crizotinib,3421
Ceritinib,3421
Alectinib hydrochloride,3421
Brigatinib,3421
Lorlatinib,3421
Capmatinib hydrochloride,3421
Tepotinib hydrochloride,3421
Necitumumab,3421
Pralsetinib,3421
Thyroid,3421
Testosterone,3421
Testosterone cypionate,3421
Niraparib tosilate hydrate,3421
Medroxyprogesterone acetate,3421
Floxuridine,3421
Trifluridine and tipiracil hydrochloride,3421
Irinotecan hydrochloride,3421
Oxaliplatin,3421
Panitumumab,3421
Sunitinib malate,3421
Avapritinib,3421
Ripretinib,3421
Melphalan,3421
Carboplatin,3421
Rucaparib camsylate,3421
Altretamine,3421
Streptozocin,3421
Lutetium (177Lu) oxodotreotide,3421
Temsirolimus,3421
Axitinib,3421
Hepatitis A virus (HAV),3421
Hepatitis B virus (HBV),3421
Hepatitis C virus (HCV),3421
Hepatitis D virus (HDV),3421
Hepatitis E virus (HEV),3421
Human herpesvirus 8 (KSHV),3421
Simian virus 40 (SV40),3421
Human papillomavirus types 5,3421
Merkel cell polyomavirus (MCPyV),3421
